bf_time,elapsed_s,pattern_id,action,alpha_rel,beta_rel,theta_rel,delta_rel,gamma_rel,alpha_uV2,beta_uV2,theta_uV2,delta_uV2,gamma_uV2,total_1_45_uV2,,alpha_avg,beta_avg,theta_avg,delta_avg,gamma_avg,,alphauv2_avg,betauv2_avg,thetauv2_avg,deltauv2_avg,gammauv2_avg
1769101187,13,,,0.04465897,0.084600412,0.121646825,0.637168623,0.019869803,14918.15281,28260.43382,40635.64216,212843.6653,6637.429156,334046.0557,,,,,,,,,,,,
1769101188,14,,,0.035776903,0.080827855,0.108180053,0.680408433,0.013998023,8894.35941,20094.30441,26894.23007,169153.7433,3479.994991,248606.183,,,,,,,,,,,,
1769101189,15,,,0.037580387,0.09161349,0.107837862,0.667932368,0.015427887,8489.538009,20695.80077,24360.94177,150888.2065,3485.212443,225903.4204,,,,,,,,,,,,
1769101190,16,,,0.024908179,0.147162039,0.071255602,0.692597743,0.014784212,1359.642037,8033.011877,3889.570307,37806.25729,807.0134872,54586.16877,,,,,,,,,,,,
1769101191,17,,,0.027340861,0.166281146,0.075226137,0.649758372,0.012804234,479.2673161,2914.799172,1318.664716,11389.83708,224.4497984,17529.34256,,,,,,,,,,,,
1769101192,18,,,0.031834496,0.126635534,0.148864885,0.605186915,0.011932619,1072.070958,4264.627865,5013.232189,20380.5116,401.8475436,33676.39172,,,,,,,,,,,,
1769101193,19,,,0.017185594,0.289771155,0.015928492,0.6256454,0.012874113,870.5449278,14678.50387,806.8657692,31692.38295,652.1446773,50655.50385,,,,,,,,,,,,
1769101194,20,,,0.033876959,0.138626687,0.085643178,0.642013392,0.021879721,9700.57578,39695.37765,24523.6927,183838.8016,6265.198975,286347.3003,,,,,,,,,,,,
1769101195,21,,,0.027554317,0.206107011,0.081734986,0.600873243,0.011620862,4126.070073,30863.11241,12239.25401,89976.65028,1740.144454,149743.1468,,,,,,,,,,,,
1769101196,22,,,0.007212896,0.206015365,0.025015362,0.723943658,0.007215398,505.0071772,14424.05951,1751.43769,50686.54178,505.1823406,70014.48417,,,,,,,,,,,,
1769101197,23,,,0.02885417,0.339091756,0.081382161,0.458425795,0.020323163,1646.422803,19348.62088,4643.676979,26157.83708,1159.642372,57060.1335,,,,,,,,,,,,
1769101198,24,,,0.03197397,0.122328216,0.107831,0.637335415,0.018439419,2775.769364,10619.72954,9361.176775,55329.26066,1600.788859,86813.40991,,,,,,,,,,,,
1769101199,25,,,0.030850372,0.129618393,0.114303873,0.637968491,0.017915508,2975.022799,12499.61185,11022.7724,61521.81272,1727.662986,96433.93618,,,,,,,,,,,,
1769101200,26,,,0.019380714,0.21529099,0.070093231,0.585455489,0.0318411,247.8085745,2752.785725,896.2365072,7485.838184,407.1314166,12786.34897,,,,,,,,,,,,
1769101201,27,,,0.047764912,0.069464389,0.118441324,0.655629521,0.020716561,7798.218383,11340.92881,19337.02517,107039.706,3382.237295,163262.4868,,,,,,,,,,,,
1769101202,28,,,0.038647424,0.053718246,0.116583409,0.687941489,0.014910714,22655.18363,31489.724,68341.38648,403272.4333,8740.68536,586201.6464,,,,,,,,,,,,
1769101203,29,,,0.031334339,0.095655282,0.087909118,0.693750668,0.01592407,1272.913223,3885.860581,3571.183602,28182.63996,646.8928336,40623.58606,,,,,,,,,,,,
1769101204,30,,,0.039012377,0.053150817,0.107523755,0.698406966,0.01633676,14986.04973,20417.13034,41303.72085,268283.1013,6275.534024,384135.7753,,,,,,,,,,,,
1769101205,31,,,0.042945466,0.07121473,0.118499489,0.659522772,0.01624416,10852.2289,17995.81256,29944.57172,166660.0173,4104.865173,252697.8967,,,,,,,,,,,,
1769101206,32,,,0.044181439,0.060738688,0.111145913,0.681088197,0.018587607,9535.715381,13109.2797,23988.7114,146999.8103,4011.7781,215830.8,,,,,,,,,,,,
1769101207,33,,,0.030208107,0.076016061,0.072906301,0.766508514,0.008617771,1445.979243,3638.680345,3489.824669,36690.66028,412.5090447,47867.25732,,,,,,,,,,,,
1769101208,34,,,0.025760901,0.104493634,0.048793261,0.745655336,0.01989371,2070.87001,8400.045367,3922.397869,59941.8203,1599.217654,80388.10618,,,,,,,,,,,,
1769101209,35,,,0.023611865,0.157121366,0.11062175,0.585690157,0.024137938,876.7865818,5834.435536,4107.75113,21748.61102,896.3213902,37133.30466,,,,,,,,,,,,
1769101211,36,,,0.031709985,0.078815884,0.061663436,0.753134609,0.012760043,2817.041581,7001.820527,5478.03685,66906.73396,1133.572636,88837.68341,,,,,,,,,,,,
1769101212,37,,,0.038823738,0.059642347,0.11633691,0.658974551,0.01631047,16744.96946,25724.19168,50176.98165,284220.6651,7034.828148,431307.4983,,,,,,,,,,,,
1769101213,38,,,0.033632155,0.126518022,0.080736474,0.672005068,0.011699353,1833.624883,6897.76188,4401.752148,36637.71267,637.8486546,54519.99455,,,,,,,,,,,,
1769101214,40,,,0.045584723,0.074622173,0.146897382,0.606310489,0.017234593,5904.271879,9665.290728,19026.59557,78531.17798,2232.276851,129523.0405,,,,,,,,,,,,
1769101215,41,,,0.039201163,0.05819833,0.080995528,0.724226925,0.015213198,7037.555133,10448.00525,14540.65257,130016.2172,2731.13639,179524.1418,,,,,,,,,,,,
1769101216,42,,,0.031505725,0.102762115,0.109256635,0.661860684,0.017019771,1022.812982,3336.105582,3546.945972,21486.87895,552.5358478,32464.35312,,,,,,,,,,,,
1769101217,43,,,0.018548903,0.091502956,0.114796122,0.629532954,0.017315466,1112.603424,5488.545631,6885.720206,37760.75096,1038.619175,59982.16729,,,,,,,,,,,,
1769101218,44,,,0.02447111,0.050360987,0.101869751,0.726068252,0.012440371,4327.050263,8904.970809,18012.89484,128385.4233,2199.741308,176822.8028,,,,,,,,,,,,
1769101219,45,,,0.031223415,0.05671659,0.110981969,0.714902202,0.014691767,9210.178476,16730.06974,32737.08937,210879.4568,4333.728342,294976.6504,,,,,,,,,,,,
1769101220,46,,,0.024995213,0.053661635,0.085048493,0.785402942,0.01268989,1072.511116,2302.54891,3649.316941,33700.58857,544.5061926,42908.661,,,,,,,,,,,,
1769101221,47,,,0.045565026,0.071081169,0.083948823,0.717164487,0.010924358,5670.71376,8846.279542,10447.70039,89253.42183,1359.571398,124453.2091,,,,,,,,,,,,
1769101222,48,,,0.050338721,0.0597251,0.073828571,0.732469843,0.010345021,7257.385632,8610.629661,10643.94172,105600.9378,1491.452365,144171.0384,,,,,,,,,,,,
1769101223,49,,,0.040211509,0.057223252,0.108842411,0.700427808,0.013806713,5308.621094,7554.468193,14369.09827,92468.69786,1822.727178,132017.4568,,,,,,,,,,,,
1769101224,50,,,0.052618661,0.133240075,0.183780446,0.443408706,0.014430022,1341.812217,3397.714018,4686.528417,11307.22851,367.9755388,25500.69126,,,,,,,,,,,,
1769101225,51,,,0.044621449,0.145546385,0.043810961,0.642306255,0.011879223,1586.804765,5175.844876,1557.982627,22841.36114,422.442759,35561.48017,,,,,,,,,,,,
1769101226,52,,,0.03983714,0.074246304,0.071254414,0.703305163,0.01235952,3840.923276,7158.504772,6870.039713,67809.61573,1191.651046,96415.6376,,,,,,,,,,,,
1769101227,53,,,0.053716794,0.150787296,0.074739809,0.631917131,0.020264104,3460.084908,9712.732498,4814.25021,40703.9733,1305.281173,64413.46704,,,,,,,,,,,,
1769101228,54,,,0.05617797,0.079319909,0.090301406,0.663672004,0.01872155,13392.08892,18908.82272,21526.66726,158210.6746,4462.971267,238386.8443,,,,,,,,,,,,
1769101229,55,,,0.036225095,0.073202036,0.090641917,0.708789072,0.013969485,11428.09482,23093.37816,28595.2163,223604.9013,4407.01677,315474.5327,,,,,,,,,,,,
1769101230,56,,,0.036230909,0.069613866,0.137534425,0.640209052,0.015336468,6956.670221,13366.50717,26407.88391,122926.0694,2944.74399,192009.2648,,,,,,,,,,,,
1769101231,57,,,0.041195794,0.149385181,0.225292716,0.41788092,0.023031419,879.045796,3187.617026,4807.35032,8916.843864,491.4499825,21338.24121,,,,,,,,,,,,
1769101232,58,,,0.088664672,0.109528613,0.201975618,0.459540985,0.017639795,3718.82981,4593.918431,8471.389236,19274.35888,739.8594625,41942.63298,,,,,,,,,,,,
1769101233,59,,,0.048296843,0.075388398,0.153815769,0.584740083,0.018584717,11148.00417,17401.34827,35504.15994,134971.2428,4289.77318,230822.6281,,,,,,,,,,,,
1769101234,60,,,0.040917734,0.061549848,0.126315793,0.657817813,0.01563632,27137.16931,40820.65388,83774.26527,436273.2689,10370.20921,663212.914,,,,,,,,,,,,
1769101235,61,,,0.038885871,0.05439694,0.113714684,0.694494143,0.013606579,19973.67914,27940.92024,58409.40569,356726.0514,6989.002336,513648.7541,,,,,,,,,,,,
1769101236,62,,,0.045809916,0.136070905,0.117402697,0.590877832,0.016578791,6684.984922,19856.66058,17132.43183,86226.07891,2419.322642,145928.7762,,,,,,,,,,,,
